,LCI,top3_3,,,,,
777,5,Biological mother only,,,,,
778,0,Biological mother only,,,,,
779,0,Both biological parents,,,,,
780,5,Anything else,,,,,
781,0,Both biological parents,,,,,
782,10,Both biological parents,,,,,
783,1,Both biological parents,,,,,
786,3,Both biological parents,,,,,
787,0,Biological father only,,,,,
788,0,Biological father only,,,,,
789,1,Both biological parents,,,,,
790,1,Both biological parents,,,,,
791,1,Both biological parents,,,,,
792,1,Both biological parents,,,,,
793,1,Anything else,,,,,
794,1,Both biological parents,,,,,
795,2,"Two parents, biological father",,,,,
796,1,Both biological parents,,,,,
797,0,Both biological parents,,,,,
798,3,Both biological parents,,,,,
799,1,Both biological parents,,,,,
800,5,"Two parents, biological mother",,,,,
801,7,Anything else,,,,,
803,1,Anything else,,,,,
804,1,Both biological parents,,,,,
805,6,Anything else,,,,,
806,1,Biological mother only,,,,,
807,3,Anything else,,,,,
809,1,Anything else,,,,,
810,1,Anything else,,,,,
811,1,Anything else,,,,,
812,6,Biological mother only,,,,,
813,2,Anything else,,,,,
814,4,"Two parents, biological mother",,,,,
815,4,Biological mother only,,,,,
816,1,Biological mother only,,,,,
817,3,"Two parents, biological mother",,,,,
818,5,"Two parents, biological mother",,,,,
820,6,Anything else,,,,,
821,0,Both biological parents,,,,,
822,1,Biological mother only,,,,,
823,1,Biological mother only,,,,,
825,1,Both biological parents,,,,,
826,1,Both biological parents,,,,,
828,4,Anything else,,,,,
829,1,"Two parents, biological father",,,,,
830,2,Both biological parents,,,,,
831,1,"Two parents, biological mother",,,,,
833,1,"Two parents, biological mother",,,,,
834,1,Both biological parents,,,,,
836,11,Anything else,,,,,
837,1,Anything else,,,,,
838,1,Both biological parents,,,,,
839,1,Both biological parents,,,,,
840,0,Both biological parents,,,,,
841,1,Biological mother only,,,,,
842,3,Both biological parents,,,,,
843,1,Both biological parents,,,,,
844,1,Both biological parents,,,,,
845,1,Both biological parents,,,,,
846,3,Both biological parents,,,,,
847,2,Anything else,,,,,
848,0,Biological mother only,,,,,
849,5,"Two parents, biological mother",,,,,
850,1,Both biological parents,,,,,
851,3,"Two parents, biological mother",,,,,
852,0,Both biological parents,,,,,
853,2,Both biological parents,,,,,
854,1,Biological mother only,,,,,
855,1,Anything else,,,,,
856,0,Both biological parents,,,,,
857,0,Both biological parents,,,,,
858,1,Both biological parents,,,,,
859,1,Both biological parents,,,,,
860,3,Anything else,,,,,
861,2,"Two parents, biological mother",,,,,
862,9,Biological mother only,,,,,
863,2,"Two parents, biological mother",,,,,
864,1,Biological mother only,,,,,
865,0,Biological mother only,,,,,
866,3,Biological mother only,,,,,
868,2,Biological mother only,,,,,
870,0,Biological mother only,,,,,
871,1,Anything else,,,,,
872,1,Both biological parents,,,,,
873,5,"No parents, other relatives",,,,,
874,5,Both biological parents,,,,,
876,0,Both biological parents,,,,,
877,1,Biological father only,,,,,
878,0,Biological mother only,,,,,
879,5,Both biological parents,,,,,
880,7,Biological mother only,,,,,
881,2,Anything else,,,,,
882,3,Anything else,,,,,
883,3,Both biological parents,,,,,
884,2,Anything else,,,,,
886,1,Both biological parents,,,,,
888,1,Biological mother only,,,,,
889,4,"Two parents, biological mother",,,,,
890,1,Biological mother only,,,,,
891,1,Both biological parents,,,,,
894,1,"Two parents, biological mother",,,,,
895,3,Both biological parents,,,,,
896,1,Anything else,,,,,
897,5,Both biological parents,,,,,
898,0,Both biological parents,,,,,
