,LCI,top3_3,,,,,
1016,1,Biological mother only,,,,,
1017,0,Anything else,,,,,
1018,1,"Two parents, biological mother",,,,,
1019,1,Both biological parents,,,,,
1020,1,Anything else,,,,,
1021,1,Both biological parents,,,,,
1022,1,Biological mother only,,,,,
1023,5,Both biological parents,,,,,
1024,4,Anything else,,,,,
1025,0,Both biological parents,,,,,
1026,0,Both biological parents,,,,,
1027,4,Anything else,,,,,
1028,4,Anything else,,,,,
1029,1,Anything else,,,,,
1030,0,"No parents, grandparents",,,,,
1031,6,Anything else,,,,,
1032,0,Biological mother only,,,,,
1034,1,Biological mother only,,,,,
1035,7,Biological father only,,,,,
1036,5,Biological father only,,,,,
1037,4,"Two parents, biological mother",,,,,
1039,4,Biological mother only,,,,,
1040,1,Biological mother only,,,,,
1042,0,Biological mother only,,,,,
1043,8,Biological mother only,,,,,
1044,2,Biological mother only,,,,,
1045,8,Anything else,,,,,
1046,0,Biological mother only,,,,,
1050,2,Biological mother only,,,,,
1052,5,Biological mother only,,,,,
1053,5,Biological mother only,,,,,
1054,0,Anything else,,,,,
1055,2,Anything else,,,,,
1056,0,Biological mother only,,,,,
1057,2,Biological mother only,,,,,
1058,0,Biological mother only,,,,,
1059,0,"Two parents, biological mother",,,,,
1060,1,Anything else,,,,,
1061,2,"Two parents, biological mother",,,,,
1064,0,Anything else,,,,,
1065,3,Anything else,,,,,
1066,5,"Two parents, biological mother",,,,,
1068,2,Anything else,,,,,
1069,1,Biological mother only,,,,,
1070,2,"Two parents, biological mother",,,,,
1072,0,Both biological parents,,,,,
1073,1,"No parents, grandparents",,,,,
1074,1,Both biological parents,,,,,
1075,0,Both biological parents,,,,,
1076,0,Both biological parents,,,,,
1079,0,"Two parents, biological father",,,,,
1080,1,Both biological parents,,,,,
1081,3,Anything else,,,,,
1082,2,Both biological parents,,,,,
1083,5,Both biological parents,,,,,
1084,1,Both biological parents,,,,,
1085,1,Biological father only,,,,,
1086,1,Both biological parents,,,,,
1089,1,Biological father only,,,,,
1090,3,Biological father only,,,,,
1091,0,"Two parents, biological mother",,,,,
1092,0,Both biological parents,,,,,
1093,1,Both biological parents,,,,,
1094,0,Biological mother only,,,,,
1095,9,Anything else,,,,,
1096,4,Biological mother only,,,,,
1097,3,Anything else,,,,,
1098,5,Biological mother only,,,,,
1099,12,Biological mother only,,,,,
1100,1,Anything else,,,,,
1101,3,Biological mother only,,,,,
1102,1,Both biological parents,,,,,
1103,1,Both biological parents,,,,,
1104,0,Anything else,,,,,
1105,6,Anything else,,,,,
1106,1,Biological mother only,,,,,
1107,1,Biological mother only,,,,,
1109,0,Both biological parents,,,,,
1111,1,Anything else,,,,,
1112,3,Anything else,,,,,
1113,1,Both biological parents,,,,,
1114,1,Both biological parents,,,,,
1115,0,Both biological parents,,,,,
1116,2,Anything else,,,,,
1117,0,Both biological parents,,,,,
1118,1,Both biological parents,,,,,
1119,0,"Two parents, biological mother",,,,,
1120,1,Both biological parents,,,,,
1121,1,Both biological parents,,,,,
1122,0,Anything else,,,,,
1123,5,"No parents, other relatives",,,,,
1124,1,Biological mother only,,,,,
1125,0,Anything else,,,,,
1126,0,Anything else,,,,,
1127,1,Biological mother only,,,,,
1128,2,Biological mother only,,,,,
1129,1,Both biological parents,,,,,
1131,1,Biological mother only,,,,,
1132,1,Biological mother only,,,,,
1133,1,Both biological parents,,,,,
1135,1,Anything else,,,,,
1136,1,Both biological parents,,,,,
1138,0,Both biological parents,,,,,
1139,0,Both biological parents,,,,,
1140,0,Both biological parents,,,,,
1141,1,Anything else,,,,,
1142,1,Anything else,,,,,
1143,7,Both biological parents,,,,,
1144,2,Both biological parents,,,,,
1145,0,Both biological parents,,,,,
1146,1,Anything else,,,,,
1147,1,Both biological parents,,,,,
1148,0,Biological mother only,,,,,
1149,3,Biological mother only,,,,,
1150,7,Both biological parents,,,,,
1151,1,Both biological parents,,,,,
1152,1,"Two parents, biological mother",,,,,
1153,6,Both biological parents,,,,,
1154,1,Both biological parents,,,,,
1155,4,Both biological parents,,,,,
1156,1,Both biological parents,,,,,
1157,2,Both biological parents,,,,,
1158,0,Both biological parents,,,,,
1159,1,Anything else,,,,,
1160,1,"Two parents, biological mother",,,,,
1161,3,Biological father only,,,,,
1162,1,Biological mother only,,,,,
1163,1,Biological mother only,,,,,
1164,2,"Two parents, biological mother",,,,,
1165,1,Both biological parents,,,,,
1166,0,Anything else,,,,,
1167,3,Both biological parents,,,,,
1168,2,Both biological parents,,,,,
1169,1,Both biological parents,,,,,
1170,0,Biological mother only,,,,,
1171,2,Biological mother only,,,,,
1172,0,Biological father only,,,,,
1173,3,Biological mother only,,,,,
1174,1,Biological mother only,,,,,
1175,1,Biological mother only,,,,,
1176,1,"No parents, other relatives",,,,,
1178,0,Biological mother only,,,,,
1179,0,Both biological parents,,,,,
1180,3,Anything else,,,,,
1181,1,Both biological parents,,,,,
1182,1,Anything else,,,,,
1183,4,Anything else,,,,,
1184,0,Both biological parents,,,,,
1185,0,Both biological parents,,,,,
1186,0,Both biological parents,,,,,
1187,0,Both biological parents,,,,,
1189,4,Anything else,,,,,
1190,1,Anything else,,,,,
1191,2,Both biological parents,,,,,
1192,3,Both biological parents,,,,,
1196,1,Anything else,,,,,
1197,5,Anything else,,,,,
1198,8,Anything else,,,,,
1199,7,Anything else,,,,,
1200,1,"No parents, grandparents",,,,,
1201,5,Biological mother only,,,,,
1202,0,Biological mother only,,,,,
1203,4,Biological mother only,,,,,
1204,6,Biological mother only,,,,,
1206,0,Biological mother only,,,,,
1207,2,Both biological parents,,,,,
1208,1,Both biological parents,,,,,
1209,0,"No parents, grandparents",,,,,
1210,2,Anything else,,,,,
1211,0,Anything else,,,,,
1212,0,Biological mother only,,,,,
1213,0,Biological mother only,,,,,
1214,1,Biological mother only,,,,,
1215,3,Biological mother only,,,,,
1216,1,Both biological parents,,,,,
1217,1,Anything else,,,,,
1218,4,Biological mother only,,,,,
1220,19,Biological mother only,,,,,
1221,6,Anything else,,,,,
1222,4,Biological mother only,,,,,
1223,0,"Two parents, biological mother",,,,,
1224,2,Biological father only,,,,,
1225,1,Both biological parents,,,,,
1226,1,Both biological parents,,,,,
1227,1,"Two parents, biological mother",,,,,
1228,5,Both biological parents,,,,,
1229,2,Anything else,,,,,
1230,1,Both biological parents,,,,,
1231,1,Both biological parents,,,,,
1232,1,Both biological parents,,,,,
1233,1,Anything else,,,,,
1235,1,Both biological parents,,,,,
1236,5,Biological father only,,,,,
1237,1,Both biological parents,,,,,
1238,1,Both biological parents,,,,,
1239,3,Biological mother only,,,,,
1241,0,Both biological parents,,,,,
1242,0,Anything else,,,,,
1244,0,Both biological parents,,,,,
1245,1,Both biological parents,,,,,
1246,0,Both biological parents,,,,,
1247,1,Both biological parents,,,,,
1248,0,Both biological parents,,,,,
1249,1,Both biological parents,,,,,
1250,0,Biological mother only,,,,,
1251,1,Both biological parents,,,,,
1252,5,Both biological parents,,,,,
1255,1,"Two parents, biological mother",,,,,
1257,1,Biological mother only,,,,,
1258,7,Both biological parents,,,,,
1259,1,Anything else,,,,,
1260,1,Both biological parents,,,,,
1261,1,Biological mother only,,,,,
1262,5,Both biological parents,,,,,
1263,5,Anything else,,,,,
1264,4,Anything else,,,,,
1265,0,Both biological parents,,,,,
1266,3,Biological mother only,,,,,
1268,1,Anything else,,,,,
1269,0,Biological mother only,,,,,
1271,1,Biological mother only,,,,,
1272,1,Anything else,,,,,
1273,5,Both biological parents,,,,,
1274,1,Anything else,,,,,
1275,1,Biological mother only,,,,,
1276,1,Both biological parents,,,,,
1277,0,Both biological parents,,,,,
1279,0,Both biological parents,,,,,
1280,5,Biological mother only,,,,,
1281,0,Biological mother only,,,,,
1282,4,Biological mother only,,,,,
1283,1,Biological mother only,,,,,
1284,0,Both biological parents,,,,,
1285,0,Biological father only,,,,,
1286,0,Biological mother only,,,,,
1288,1,Both biological parents,,,,,
1289,3,Anything else,,,,,
1290,1,Both biological parents,,,,,
1291,3,Anything else,,,,,
1292,3,Both biological parents,,,,,
1293,1,Both biological parents,,,,,
1294,1,Both biological parents,,,,,
1295,0,"Two parents, biological mother",,,,,
1296,1,"Two parents, biological mother",,,,,
1297,0,Both biological parents,,,,,
1298,0,Both biological parents,,,,,
1299,1,Both biological parents,,,,,
1302,1,Biological mother only,,,,,
1303,1,Biological mother only,,,,,
1304,5,Biological mother only,,,,,
1305,1,Biological mother only,,,,,
1306,0,Both biological parents,,,,,
1308,4,Biological mother only,,,,,
1309,3,"Two parents, biological mother",,,,,
1310,3,Both biological parents,,,,,
1311,1,Both biological parents,,,,,
1312,1,Anything else,,,,,
1313,3,Anything else,,,,,
1314,0,"Two parents, biological mother",,,,,
1315,0,Both biological parents,,,,,
1316,1,Biological father only,,,,,
1317,5,Both biological parents,,,,,
1318,3,Anything else,,,,,
1319,6,Anything else,,,,,
1320,1,Both biological parents,,,,,
1321,0,Both biological parents,,,,,
1322,2,Anything else,,,,,
1323,2,"Two parents, biological mother",,,,,
1324,5,"Two parents, biological father",,,,,
1325,0,Anything else,,,,,
1326,2,Both biological parents,,,,,
1327,3,Anything else,,,,,
1328,1,Both biological parents,,,,,
1329,0,Both biological parents,,,,,
1330,0,Both biological parents,,,,,
1331,0,Both biological parents,,,,,
1332,1,Anything else,,,,,
1333,1,Both biological parents,,,,,
1334,1,Both biological parents,,,,,
1336,1,Both biological parents,,,,,
1337,0,Anything else,,,,,
1339,1,Both biological parents,,,,,
1340,1,Both biological parents,,,,,
1341,3,Anything else,,,,,
1342,8,Both biological parents,,,,,
1345,3,Anything else,,,,,
1346,0,Both biological parents,,,,,
1347,1,Biological mother only,,,,,
1348,2,Both biological parents,,,,,
1349,2,Both biological parents,,,,,
1350,1,Both biological parents,,,,,
1351,1,Both biological parents,,,,,
1353,3,Anything else,,,,,
1354,1,Anything else,,,,,
1355,1,Anything else,,,,,
1356,8,Anything else,,,,,
1357,4,Biological mother only,,,,,
1358,1,Both biological parents,,,,,
1359,1,Both biological parents,,,,,
1360,10,Anything else,,,,,
1361,6,Anything else,,,,,
1362,1,Biological mother only,,,,,
1363,1,Biological mother only,,,,,
1364,4,Anything else,,,,,
1365,1,Both biological parents,,,,,
1366,1,Both biological parents,,,,,
1367,6,"Two parents, biological mother",,,,,
1368,1,Both biological parents,,,,,
1371,3,Anything else,,,,,
1372,11,Anything else,,,,,
1373,6,Biological mother only,,,,,
1374,0,Biological mother only,,,,,
1375,0,Both biological parents,,,,,
1376,1,Biological mother only,,,,,
1377,1,Biological mother only,,,,,
1378,3,Anything else,,,,,
1380,2,Anything else,,,,,
1381,0,"Two parents, biological mother",,,,,
1382,1,Anything else,,,,,
1383,14,Anything else,,,,,
1384,8,Anything else,,,,,
1385,3,Biological mother only,,,,,
1386,1,Anything else,,,,,
1387,3,Anything else,,,,,
1388,0,Both biological parents,,,,,
1390,3,Anything else,,,,,
1391,4,Anything else,,,,,
1392,0,Biological mother only,,,,,
1393,0,Biological father only,,,,,
1394,3,Both biological parents,,,,,
1395,8,Biological mother only,,,,,
1396,4,"Two parents, biological mother",,,,,
1397,5,"Two parents, biological mother",,,,,
1398,2,Both biological parents,,,,,
1399,11,"Two parents, biological mother",,,,,
1400,1,Biological mother only,,,,,
1404,0,Both biological parents,,,,,
1405,0,Both biological parents,,,,,
1407,2,Anything else,,,,,
1408,4,Biological mother only,,,,,
1409,1,Anything else,,,,,
1410,1,Both biological parents,,,,,
1411,7,"Two parents, biological father",,,,,
1412,7,"Two parents, biological mother",,,,,
1413,1,Anything else,,,,,
1414,1,Biological mother only,,,,,
1416,4,Anything else,,,,,
1417,3,Anything else,,,,,
1418,5,Anything else,,,,,
1419,2,Biological father only,,,,,
1420,0,"Two parents, biological mother",,,,,
1421,1,Both biological parents,,,,,
1422,3,Biological mother only,,,,,
1423,4,Biological father only,,,,,
1424,2,Biological mother only,,,,,
1425,5,Anything else,,,,,
1426,19,Anything else,,,,,
1427,1,Both biological parents,,,,,
1428,1,Both biological parents,,,,,
1429,1,Both biological parents,,,,,
1430,0,Both biological parents,,,,,
1431,2,Both biological parents,,,,,
1432,1,Anything else,,,,,
1433,5,Biological mother only,,,,,
1434,3,Biological mother only,,,,,
1436,0,Both biological parents,,,,,
1437,7,Biological mother only,,,,,
1438,1,Both biological parents,,,,,
1439,3,Biological father only,,,,,
1440,5,Biological father only,,,,,
1441,6,Anything else,,,,,
1442,1,Biological mother only,,,,,
1443,3,Anything else,,,,,
1444,1,Both biological parents,,,,,
1445,1,Both biological parents,,,,,
1446,3,Adoptive parent(s),,,,,
1448,1,Both biological parents,,,,,
1449,0,Both biological parents,,,,,
1450,1,Anything else,,,,,
1451,1,Both biological parents,,,,,
1452,5,Both biological parents,,,,,
1453,1,Both biological parents,,,,,
1454,3,Anything else,,,,,
1455,0,Both biological parents,,,,,
1457,1,Both biological parents,,,,,
1458,0,Both biological parents,,,,,
1459,0,Both biological parents,,,,,
1460,1,Both biological parents,,,,,
1461,4,Biological mother only,,,,,
1462,1,Both biological parents,,,,,
1463,4,Anything else,,,,,
1464,2,Both biological parents,,,,,
1466,0,Anything else,,,,,
1467,0,Biological mother only,,,,,
1468,4,Both biological parents,,,,,
1469,0,Both biological parents,,,,,
1470,2,Anything else,,,,,
1471,0,Biological mother only,,,,,
1472,5,Both biological parents,,,,,
1473,5,Both biological parents,,,,,
1474,3,Both biological parents,,,,,
1475,2,Both biological parents,,,,,
1476,1,Anything else,,,,,
1477,0,"Two parents, biological father",,,,,
1478,0,Biological mother only,,,,,
1479,4,Biological mother only,,,,,
1480,2,Anything else,,,,,
1481,0,Biological mother only,,,,,
1482,2,Both biological parents,,,,,
1483,0,Both biological parents,,,,,
1484,0,Both biological parents,,,,,
1485,1,Both biological parents,,,,,
1486,3,Anything else,,,,,
1487,1,Anything else,,,,,
1489,1,Both biological parents,,,,,
1490,1,Both biological parents,,,,,
1491,0,Both biological parents,,,,,
1492,0,"Two parents, biological mother",,,,,
1493,3,Both biological parents,,,,,
1494,1,Both biological parents,,,,,
1495,1,Biological mother only,,,,,
1496,1,Biological mother only,,,,,
1497,2,Both biological parents,,,,,
1498,1,Both biological parents,,,,,
1499,0,Anything else,,,,,
1500,0,Biological mother only,,,,,
1501,1,Biological mother only,,,,,
1502,3,Biological mother only,,,,,
1503,1,Anything else,,,,,
1504,3,Both biological parents,,,,,
1506,4,Biological mother only,,,,,
1507,3,Anything else,,,,,
1508,1,Anything else,,,,,
1509,4,Biological mother only,,,,,
1510,5,Biological mother only,,,,,
1511,3,Biological mother only,,,,,
1512,8,Biological father only,,,,,
1513,3,Anything else,,,,,
1514,1,Both biological parents,,,,,
1515,3,Anything else,,,,,
1516,2,"Two parents, biological father",,,,,
1517,0,Both biological parents,,,,,
1518,1,Both biological parents,,,,,
1519,3,"Two parents, biological mother",,,,,
1520,1,Both biological parents,,,,,
1522,3,Anything else,,,,,
1523,1,Biological mother only,,,,,
1525,2,Biological mother only,,,,,
1528,1,Anything else,,,,,
1529,3,Both biological parents,,,,,
1530,0,Anything else,,,,,
1531,1,Both biological parents,,,,,
1532,2,Anything else,,,,,
1533,4,Anything else,,,,,
1534,1,Anything else,,,,,
1535,4,Anything else,,,,,
1537,3,Anything else,,,,,
1538,1,Both biological parents,,,,,
1539,4,"Two parents, biological father",,,,,
1540,1,Both biological parents,,,,,
1541,1,Both biological parents,,,,,
1542,1,Both biological parents,,,,,
1543,0,Both biological parents,,,,,
1544,1,Both biological parents,,,,,
1545,3,Anything else,,,,,
1547,1,Both biological parents,,,,,
1548,1,Both biological parents,,,,,
1549,3,Anything else,,,,,
1550,1,Both biological parents,,,,,
1551,0,Biological mother only,,,,,
1552,0,Biological mother only,,,,,
1554,0,Both biological parents,,,,,
1555,0,Both biological parents,,,,,
