,LCI,top3_2
1279,0,"Never Married, Not Cohabitating"
1280,5,Divorced
1282,4,"Never Married, Not Cohabitating"
1283,1,Married
1284,0,"Never Married, Not Cohabitating"
1285,0,"Never Married, Not Cohabitating"
1286,0,"Never Married, Not Cohabitating"
1288,1,Married
1289,3,"Never Married, Cohabiting"
1290,1,"Never Married, Cohabiting"
1292,3,Divorced
1294,1,"Never Married, Not Cohabitating"
1295,0,"Never Married, Not Cohabitating"
1296,1,Married
1299,1,Married
1300,1,Married
1301,1,Married
1302,1,Married
1303,1,Married
1304,5,Married
1305,1,"Never Married, Not Cohabitating"
1306,0,"Never Married, Not Cohabitating"
